location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Côte d'Ivoire,CIV,2455.98127641148,0.0465169621671917,0.0373567280560878,0.0064318945770193,0.0063073165773,0.0560071395109227,0.0368432704314772,2.612077248568088,12.792899326512282
Republic of Djibouti,DJI,3019.69343880209,0.0612076268159957,0.0442182515188727,0.0079195008083992,0.0076364911876525,0.0706809366987171,0.0481460011893159,2.7205081888955203,7.328191399938428
Republic of Ecuador,ECU,6075.8026572556,0.1112433783015685,0.0646384275381746,0.0131381504786477,0.01160207758448,0.063917063943228,0.0389133752672511,4.994338665880979,17.825464047958466
Republic of El Salvador,SLV,4642.60743101342,0.0842440800064158,0.04893838756976,0.0126551609585914,0.0110582761793587,0.064913916769682,0.0376017352906642,5.411798750273342,18.858998702691466
Republic of Equatorial Guinea,GNQ,6945.63069794539,0.0585222923873895,0.0450198265626216,0.0069389784060371,0.0066718028612933,0.0963177672303223,0.0685979552058082,2.9497840183285606,12.731386939958254
Republic of Estonia,EST,27953.7670230126,0.0702560267185129,0.0445857119021709,0.0070245239320661,0.006566440312207,0.0701346306169084,0.0464869991595549,3.308128306943637,21.780592917137835
Republic of Fiji,FJI,4696.17101880318,0.0671397488554921,0.0408697807905354,0.003542953707554,0.0034862443111741,0.0464919393898797,0.0374606693528987,7.766061034187166,17.984017191463362
Republic of Finland,FIN,53099.1351400148,0.0713682944154848,0.0487403686671882,0.0130985557453477,0.0101230055285505,0.092390105832507,0.0593461813187061,6.904845354785506,23.13134408163112
Republic of Ghana,GHA,2445.50081810782,0.0462889859321122,0.0371177689620148,0.0064709824811875,0.0063083497032655,0.0649254195798764,0.0436165318818002,2.286660659152751,10.205677177479616
Republic of Guatemala,GTM,4913.94712869347,0.0841762183038178,0.0483676400162581,0.012470213146277,0.0109086431844585,0.0661415344949498,0.0368668701675862,3.873898610032717,12.420870208470223
