location,country_code,gdp_usd,anxiety_percent_female,anxiety_percent_male,bipolar_percent_female,bipolar_percent_male,depress_percent_female,depress_percent_male,suicide_rate_per100k_female,suicide_rate_per100k_male
Republic of Guyana,GUY,9.196329915737461,-2.3654861522881405,-2.936550218598027,-4.346005621369005,-4.47158182947558,-2.3010018669359242,-2.767545477181281,13.095780608075884,69.90529882291709
Republic of Haiti,HTI,7.515041660811512,-2.448236388689562,-3.0223746524667985,-4.3559702053694895,-4.47687135986781,-2.7275196203571443,-3.318610305513905,5.839723338823834,12.778995958007876
Republic of Honduras,HND,7.913940649430753,-2.422371417543505,-2.9707427089885243,-4.379116508125229,-4.509171479686146,-2.860982322167211,-3.421822713721807,2.030688066994854,7.218245098174096
Republic of Iceland,ISL,11.146573965656694,-2.3982646814285173,-2.945233967046548,-4.362992192131507,-4.6357720675303105,-2.841988862940116,-3.3414320998426663,4.22335873311195,22.95612775929228
Republic of India,IND,7.7140587387714135,-2.875514457403629,-3.3041018548776213,-5.548083357786221,-5.355440048737069,-2.804290688916581,-3.1096151570553188,14.859478772499196,20.23072047648221
Republic of Indonesia,IDN,8.36338285297489,-2.669687783581915,-3.2231056121434243,-5.4359297835570235,-5.461606135181721,-3.156824465763994,-3.509086933064693,0.9863012892435704,2.43565760479994
Republic of Iraq,IRQ,8.490539991846253,-2.255449695586943,-2.9749259191300994,-4.563801416911182,-4.711210209178512,-2.6305217062767707,-3.0336360127721385,3.220163276075324,8.613449414137127
Republic of Italy,ITA,10.514679892292794,-2.1946172263731905,-2.850031145608399,-4.291634376458859,-4.704628241779708,-2.502113632981721,-3.103567780628108,2.076296856328058,7.936082861975851
Republic of Kazakhstan,KAZ,9.208699129451098,-3.263316178255371,-3.7399896244639272,-4.993430671327672,-5.054217638673092,-2.856259002338259,-3.148024810337174,7.679720147244077,41.0509997011384
Republic of Kenya,KEN,7.631119404818203,-2.7695970102478813,-3.1062753873872198,-4.8681671821082855,-4.905014327381677,-2.6947332961958614,-3.0028537707434904,2.7286402002180687,10.08362925573014
Republic of Kiribati,KIR,7.720384052291301,-2.7362796243715377,-3.2360068267004376,-5.660800118400099,-5.689405125310011,-3.1749863187927754,-3.2724143138467854,7.891140490975061,51.43726377601263
Republic of Korea,KOR,10.466683281926755,-2.79181917579187,-3.5106808186972396,-5.018876200955717,-5.147501837511828,-3.2097292503157355,-3.5952548891066387,14.263852462443747,28.302684473659944
Republic of Latvia,LVA,9.916544112784733,-2.5270839117907182,-2.9930023938407517,-4.969870117491729,-5.038187884303245,-2.6206234515015985,-2.9424704792344314,3.8985589026336713,32.15059069310345
Republic of Liberia,LBR,6.50423743144568,-3.023413867710478,-3.259275539205849,-5.0489878465424285,-5.076993210509211,-2.577034862945574,-3.3919733620676955,4.218737265643967,11.49737030246855
Republic of Lithuania,LTU,10.083085758119738,-2.3937349538726753,-2.887932787656485,-4.965462109513654,-5.0386640077052975,-2.495095982648419,-2.819364413551883,4.89308038809667,47.86524537056096
Republic of Madagascar,MDG,6.194826197596972,-2.692863642350431,-3.0317954390907222,-4.866508118907368,-4.905208133087904,-2.6525983685482233,-3.0011391794760294,4.298744462390757,10.489073272303306
Republic of Malawi,MWI,6.42559407833584,-2.6790251745791713,-3.0201659270008565,-4.877957568860771,-4.9155068361115175,-2.7654211782967613,-3.151946014451872,3.205792291180749,16.584778152144224
Republic of Maldives,MDV,9.22780142488118,-2.710076865338945,-3.269752320736515,-5.432136308169461,-5.422050347026883,-2.9727555499464056,-3.3092524363014677,0.5104719880599902,3.792016895488099
Republic of Mali,MLI,6.759797351212769,-3.113678610378328,-3.356061144051741,-5.060414584036403,-5.093942242442962,-2.9578355383028265,-3.4318396321090483,3.743024385332144,6.321450311478236
Republic of Malta,MLT,10.54606171012155,-2.247072351581886,-2.814531147674294,-4.329880289003436,-4.603761507566594,-2.7329640610199237,-3.3070960194565266,1.4795399791513248,7.600936728436517
Republic of Mauritius,MUS,9.112614306518125,-2.675725207205798,-3.246084240781917,-5.4322016058048,-5.468420872580113,-2.6146734457574126,-3.0752507717282485,4.571568976378932,21.0103003033928
Republic of Moldova,MDA,8.570659229856147,-2.5898705428416156,-3.0507342379843214,-4.961368890665816,-5.027327308758783,-2.805717321391954,-3.1779389962393214,3.2937829044703864,25.34765036319432
Republic of Mozambique,MOZ,6.234229982866839,-2.657105715253267,-3.0040934143053835,-4.876520962790183,-4.922584980153827,-2.617637473640395,-2.9166858404766898,3.62906038073826,20.700347903930577
Republic of Namibia,NAM,8.392272748050816,-2.622838783126269,-2.905311491850252,-4.964787566598353,-4.984147834201495,-2.7113906689725034,-2.968541761732017,4.331062089404689,26.88329744567877
