location,sex,age,anxiety_percent,bipolar_percent,depress_percent,suicide_rate_per100k,country_code,year,gdp_usd
Montenegro,Female,15-49 years,0.077218187294348,0.0072505794020939,0.0579969114452457,4.871456130358705,MNE,2021.0,9465.96153027794
Republic of Bulgaria,Male,15-49 years,0.0449890486535095,0.0057290480610403,0.0322553821249254,15.825503505433394,BGR,2021.0,12274.0775950496
Republic of Bulgaria,Female,15-49 years,0.0815396507693334,0.0062447460240161,0.0582673924008567,4.997386255322122,BGR,2021.0,12274.0775950496
Republic of Croatia,Male,15-49 years,0.0389384994192681,0.0066921543973443,0.034214891784981,14.718991934226192,HRV,2021.0,17789.9304736722
Republic of Croatia,Female,15-49 years,0.0700722474331398,0.0073783027743354,0.0536704442668285,3.957647772396568,HRV,2021.0,17789.9304736722
United States of America,Male,15-49 years,0.0722334433684247,0.0089280032829143,0.0618438601135768,26.877605410549897,USA,2021.0,71318.3073592183
United States of America,Female,15-49 years,0.1258403310885633,0.0090286156420056,0.1069509212456703,7.676738199450363,USA,2021.0,71318.3073592183
Republic of Uzbekistan,Male,15-49 years,0.022748150346316,0.0063516865054827,0.0376029605390821,17.49632621270959,UZB,2021.0,2258.51964119278
Republic of Uzbekistan,Female,15-49 years,0.0364920114227315,0.0067024496687884,0.0513641592907638,8.401924031400242,UZB,2021.0,2258.51964119278
Ireland,Male,15-49 years,0.0702481275332887,0.0082284194617562,0.0593144347600001,15.168548830973473,IRL,2021.0,105561.137468992
Ireland,Female,15-49 years,0.1240768186413895,0.010242362824561,0.0918083981946301,3.218546636845065,IRL,2021.0,105561.137468992
Republic of Italy,Male,15-49 years,0.057842519306328,0.0090532792233517,0.044888763098238,7.936082861975851,ITA,2021.0,36852.5425414951
Republic of Italy,Female,15-49 years,0.1114011947843031,0.0136825445843257,0.0819116842894722,2.076296856328058,ITA,2021.0,36852.5425414951
Republic of Albania,Male,15-49 years,0.0422885287933244,0.0065548550392044,0.0260898645085841,4.868669798314439,ALB,2021.0,6413.28328605026
